name,cal,pro,carb,fat,category
意麵 (大盒),532.0,15.4,92.4,12.6,麵食
意麵 (100g),380.0,11.0,66.0,9.0,麵食
意麵 (150g),570.0,16.5,99.0,13.5,麵食
意麵 (200g),760.0,22.0,132.0,18.0,麵食
意麵 (250g),950.0,27.5,165.0,22.5,麵食
意麵 (300g),1140.0,33.0,198.0,27.0,麵食
炒飯 (半份),310.0,8.5,41.0,11.0,主餐
炒飯 (小份),465.0,12.8,61.5,16.5,主餐
炒飯 (1份),620.0,17.0,82.0,22.0,主餐
炒飯 (1.25份),775.0,21.2,102.5,27.5,主餐
炒飯 (1.5份),930.0,25.5,123.0,33.0,主餐
炒飯 (2份),1240.0,34.0,164.0,44.0,主餐
炒飯 (2.5份),1550.0,42.5,205.0,55.0,主餐
炒飯 (3份),1860.0,51.0,246.0,66.0,主餐
炒飯 (小碗),465.0,12.8,61.5,16.5,主餐
炒飯 (中碗),620.0,17.0,82.0,22.0,主餐
炒飯 (大碗),837.0,23.0,110.7,29.7,主餐
炒飯 (小杯),465.0,12.8,61.5,16.5,主餐
炒飯 (中杯),620.0,17.0,82.0,22.0,主餐
炒飯 (大杯),868.0,23.8,114.8,30.8,主餐
炒飯 (小盒),465.0,12.8,61.5,16.5,主餐
炒飯 (中盒),620.0,17.0,82.0,22.0,主餐
炒飯 (大盒),868.0,23.8,114.8,30.8,主餐
炒飯 (100g),620.0,17.0,82.0,22.0,主餐
炒飯 (150g),930.0,25.5,123.0,33.0,主餐
炒飯 (200g),1240.0,34.0,164.0,44.0,主餐
炒飯 (250g),1550.0,42.5,205.0,55.0,主餐
炒飯 (300g),1860.0,51.0,246.0,66.0,主餐
蛋炒飯 (半份),290.0,9.0,39.0,10.0,主餐
蛋炒飯 (小份),435.0,13.5,58.5,15.0,主餐
蛋炒飯 (1份),580.0,18.0,78.0,20.0,主餐
蛋炒飯 (1.25份),725.0,22.5,97.5,25.0,主餐
蛋炒飯 (1.5份),870.0,27.0,117.0,30.0,主餐
蛋炒飯 (2份),1160.0,36.0,156.0,40.0,主餐
蛋炒飯 (2.5份),1450.0,45.0,195.0,50.0,主餐
蛋炒飯 (3份),1740.0,54.0,234.0,60.0,主餐
蛋炒飯 (小碗),435.0,13.5,58.5,15.0,主餐
蛋炒飯 (中碗),580.0,18.0,78.0,20.0,主餐
蛋炒飯 (大碗),783.0,24.3,105.3,27.0,主餐
蛋炒飯 (小杯),435.0,13.5,58.5,15.0,主餐
蛋炒飯 (中杯),580.0,18.0,78.0,20.0,主餐
蛋炒飯 (大杯),812.0,25.2,109.2,28.0,主餐
蛋炒飯 (小盒),435.0,13.5,58.5,15.0,主餐
蛋炒飯 (中盒),580.0,18.0,78.0,20.0,主餐
蛋炒飯 (大盒),812.0,25.2,109.2,28.0,主餐
蛋炒飯 (100g),580.0,18.0,78.0,20.0,主餐
蛋炒飯 (150g),870.0,27.0,117.0,30.0,主餐
蛋炒飯 (200g),1160.0,36.0,156.0,40.0,主餐
蛋炒飯 (250g),1450.0,45.0,195.0,50.0,主餐
蛋炒飯 (300g),1740.0,54.0,234.0,60.0,主餐
肉絲炒飯 (半份),325.0,12.0,40.0,12.5,主餐
肉絲炒飯 (小份),487.5,18.0,60.0,18.8,主餐
肉絲炒飯 (1份),650.0,24.0,80.0,25.0,主餐
肉絲炒飯 (1.25份),812.5,30.0,100.0,31.2,主餐
肉絲炒飯 (1.5份),975.0,36.0,120.0,37.5,主餐
肉絲炒飯 (2份),1300.0,48.0,160.0,50.0,主餐
肉絲炒飯 (2.5份),1625.0,60.0,200.0,62.5,主餐
肉絲炒飯 (3份),1950.0,72.0,240.0,75.0,主餐
肉絲炒飯 (小碗),487.5,18.0,60.0,18.8,主餐
肉絲炒飯 (中碗),650.0,24.0,80.0,25.0,主餐
肉絲炒飯 (大碗),877.5,32.4,108.0,33.8,主餐
肉絲炒飯 (小杯),487.5,18.0,60.0,18.8,主餐
肉絲炒飯 (中杯),650.0,24.0,80.0,25.0,主餐
肉絲炒飯 (大杯),910.0,33.6,112.0,35.0,主餐
肉絲炒飯 (小盒),487.5,18.0,60.0,18.8,主餐
肉絲炒飯 (中盒),650.0,24.0,80.0,25.0,主餐
肉絲炒飯 (大盒),910.0,33.6,112.0,35.0,主餐
肉絲炒飯 (100g),650.0,24.0,80.0,25.0,主餐
肉絲炒飯 (150g),975.0,36.0,120.0,37.5,主餐
肉絲炒飯 (200g),1300.0,48.0,160.0,50.0,主餐
肉絲炒飯 (250g),1625.0,60.0,200.0,62.5,主餐
肉絲炒飯 (300g),1950.0,72.0,240.0,75.0,主餐
蝦仁炒飯 (半份),310.0,12.5,39.0,11.0,主餐
蝦仁炒飯 (小份),465.0,18.8,58.5,16.5,主餐
蝦仁炒飯 (1份),620.0,25.0,78.0,22.0,主餐
蝦仁炒飯 (1.25份),775.0,31.2,97.5,27.5,主餐
蝦仁炒飯 (1.5份),930.0,37.5,117.0,33.0,主餐
蝦仁炒飯 (2份),1240.0,50.0,156.0,44.0,主餐
蝦仁炒飯 (2.5份),1550.0,62.5,195.0,55.0,主餐
蝦仁炒飯 (3份),1860.0,75.0,234.0,66.0,主餐
蝦仁炒飯 (小碗),465.0,18.8,58.5,16.5,主餐
蝦仁炒飯 (中碗),620.0,25.0,78.0,22.0,主餐
蝦仁炒飯 (大碗),837.0,33.8,105.3,29.7,主餐
蝦仁炒飯 (小杯),465.0,18.8,58.5,16.5,主餐
蝦仁炒飯 (中杯),620.0,25.0,78.0,22.0,主餐
蝦仁炒飯 (大杯),868.0,35.0,109.2,30.8,主餐
蝦仁炒飯 (小盒),465.0,18.8,58.5,16.5,主餐
蝦仁炒飯 (中盒),620.0,25.0,78.0,22.0,主餐
蝦仁炒飯 (大盒),868.0,35.0,109.2,30.8,主餐
蝦仁炒飯 (100g),620.0,25.0,78.0,22.0,主餐
蝦仁炒飯 (150g),930.0,37.5,117.0,33.0,主餐
蝦仁炒飯 (200g),1240.0,50.0,156.0,44.0,主餐
蝦仁炒飯 (250g),1550.0,62.5,195.0,55.0,主餐
蝦仁炒飯 (300g),1860.0,75.0,234.0,66.0,主餐
炒麵 (半份),275.0,8.5,34.0,11.5,主餐
炒麵 (小份),412.5,12.8,51.0,17.2,主餐
炒麵 (1份),550.0,17.0,68.0,23.0,主餐
炒麵 (1.25份),687.5,21.2,85.0,28.8,主餐
炒麵 (1.5份),825.0,25.5,102.0,34.5,主餐
炒麵 (2份),1100.0,34.0,136.0,46.0,主餐
炒麵 (2.5份),1375.0,42.5,170.0,57.5,主餐
炒麵 (3份),1650.0,51.0,204.0,69.0,主餐
炒麵 (小碗),412.5,12.8,51.0,17.2,主餐
炒麵 (中碗),550.0,17.0,68.0,23.0,主餐
炒麵 (大碗),742.5,23.0,91.8,31.1,主餐
炒麵 (小杯),412.5,12.8,51.0,17.2,主餐
炒麵 (中杯),550.0,17.0,68.0,23.0,主餐
炒麵 (大杯),770.0,23.8,95.2,32.2,主餐
炒麵 (小盒),412.5,12.8,51.0,17.2,主餐
炒麵 (中盒),550.0,17.0,68.0,23.0,主餐
炒麵 (大盒),770.0,23.8,95.2,32.2,主餐
炒麵 (100g),550.0,17.0,68.0,23.0,主餐
炒麵 (150g),825.0,25.5,102.0,34.5,主餐
炒麵 (200g),1100.0,34.0,136.0,46.0,主餐
炒麵 (250g),1375.0,42.5,170.0,57.5,主餐
炒麵 (300g),1650.0,51.0,204.0,69.0,主餐
炒烏龍 (半份),280.0,9.0,36.0,11.0,主餐
炒烏龍 (小份),420.0,13.5,54.0,16.5,主餐
炒烏龍 (1份),560.0,18.0,72.0,22.0,主餐
炒烏龍 (1.25份),700.0,22.5,90.0,27.5,主餐
炒烏龍 (1.5份),840.0,27.0,108.0,33.0,主餐
炒烏龍 (2份),1120.0,36.0,144.0,44.0,主餐
炒烏龍 (2.5份),1400.0,45.0,180.0,55.0,主餐
炒烏龍 (3份),1680.0,54.0,216.0,66.0,主餐
炒烏龍 (小碗),420.0,13.5,54.0,16.5,主餐
炒烏龍 (中碗),560.0,18.0,72.0,22.0,主餐
炒烏龍 (大碗),756.0,24.3,97.2,29.7,主餐
炒烏龍 (小杯),420.0,13.5,54.0,16.5,主餐
炒烏龍 (中杯),560.0,18.0,72.0,22.0,主餐
炒烏龍 (大杯),784.0,25.2,100.8,30.8,主餐
炒烏龍 (小盒),420.0,13.5,54.0,16.5,主餐
炒烏龍 (中盒),560.0,18.0,72.0,22.0,主餐
炒烏龍 (大盒),784.0,25.2,100.8,30.8,主餐
炒烏龍 (100g),560.0,18.0,72.0,22.0,主餐
炒烏龍 (150g),840.0,27.0,108.0,33.0,主餐
炒烏龍 (200g),1120.0,36.0,144.0,44.0,主餐
炒烏龍 (250g),1400.0,45.0,180.0,55.0,主餐
炒烏龍 (300g),1680.0,54.0,216.0,66.0,主餐
鍋燒意麵 (半份),260.0,12.0,32.5,8.5,主餐
鍋燒意麵 (小份),390.0,18.0,48.8,12.8,主餐
鍋燒意麵 (1份),520.0,24.0,65.0,17.0,主餐
鍋燒意麵 (1.25份),650.0,30.0,81.2,21.2,主餐
鍋燒意麵 (1.5份),780.0,36.0,97.5,25.5,主餐
鍋燒意麵 (2份),1040.0,48.0,130.0,34.0,主餐
鍋燒意麵 (2.5份),1300.0,60.0,162.5,42.5,主餐
鍋燒意麵 (3份),1560.0,72.0,195.0,51.0,主餐
鍋燒意麵 (小碗),390.0,18.0,48.8,12.8,主餐
鍋燒意麵 (中碗),520.0,24.0,65.0,17.0,主餐
鍋燒意麵 (大碗),702.0,32.4,87.8,23.0,主餐
鍋燒意麵 (小杯),390.0,18.0,48.8,12.8,主餐
鍋燒意麵 (中杯),520.0,24.0,65.0,17.0,主餐
鍋燒意麵 (大杯),728.0,33.6,91.0,23.8,主餐
鍋燒意麵 (小盒),390.0,18.0,48.8,12.8,主餐
鍋燒意麵 (中盒),520.0,24.0,65.0,17.0,主餐
鍋燒意麵 (大盒),728.0,33.6,91.0,23.8,主餐
鍋燒意麵 (100g),520.0,24.0,65.0,17.0,主餐
鍋燒意麵 (150g),780.0,36.0,97.5,25.5,主餐
鍋燒意麵 (200g),1040.0,48.0,130.0,34.0,主餐
鍋燒意麵 (250g),1300.0,60.0,162.5,42.5,主餐
鍋燒意麵 (300g),1560.0,72.0,195.0,51.0,主餐
雞肉飯 (半份),260.0,13.5,33.0,8.5,主餐
雞肉飯 (小份),390.0,20.2,49.5,12.8,主餐
雞肉飯 (1份),520.0,27.0,66.0,17.0,主餐
雞肉飯 (1.25份),650.0,33.8,82.5,21.2,主餐
雞肉飯 (1.5份),780.0,40.5,99.0,25.5,主餐
雞肉飯 (2份),1040.0,54.0,132.0,34.0,主餐
雞肉飯 (2.5份),1300.0,67.5,165.0,42.5,主餐
雞肉飯 (3份),1560.0,81.0,198.0,51.0,主餐
雞肉飯 (小碗),390.0,20.2,49.5,12.8,主餐
雞肉飯 (中碗),520.0,27.0,66.0,17.0,主餐
雞肉飯 (大碗),702.0,36.5,89.1,23.0,主餐
雞肉飯 (小杯),390.0,20.2,49.5,12.8,主餐
雞肉飯 (中杯),520.0,27.0,66.0,17.0,主餐
雞肉飯 (大杯),728.0,37.8,92.4,23.8,主餐
雞肉飯 (小盒),390.0,20.2,49.5,12.8,主餐
雞肉飯 (中盒),520.0,27.0,66.0,17.0,主餐
雞肉飯 (大盒),728.0,37.8,92.4,23.8,主餐
雞肉飯 (100g),520.0,27.0,66.0,17.0,主餐
雞肉飯 (150g),780.0,40.5,99.0,25.5,主餐
雞肉飯 (200g),1040.0,54.0,132.0,34.0,主餐
雞肉飯 (250g),1300.0,67.5,165.0,42.5,主餐
雞肉飯 (300g),1560.0,81.0,198.0,51.0,主餐
魚排飯 (半份),325.0,16.0,39.0,11.5,主餐
魚排飯 (小份),487.5,24.0,58.5,17.2,主餐
魚排飯 (1份),650.0,32.0,78.0,23.0,主餐
魚排飯 (1.25份),812.5,40.0,97.5,28.8,主餐
魚排飯 (1.5份),975.0,48.0,117.0,34.5,主餐
魚排飯 (2份),1300.0,64.0,156.0,46.0,主餐
魚排飯 (2.5份),1625.0,80.0,195.0,57.5,主餐
魚排飯 (3份),1950.0,96.0,234.0,69.0,主餐
魚排飯 (小碗),487.5,24.0,58.5,17.2,主餐
魚排飯 (中碗),650.0,32.0,78.0,23.0,主餐
魚排飯 (大碗),877.5,43.2,105.3,31.1,主餐
魚排飯 (小杯),487.5,24.0,58.5,17.2,主餐
魚排飯 (中杯),650.0,32.0,78.0,23.0,主餐
魚排飯 (大杯),910.0,44.8,109.2,32.2,主餐
魚排飯 (小盒),487.5,24.0,58.5,17.2,主餐
魚排飯 (中盒),650.0,32.0,78.0,23.0,主餐
魚排飯 (大盒),910.0,44.8,109.2,32.2,主餐
魚排飯 (100g),650.0,32.0,78.0,23.0,主餐
魚排飯 (150g),975.0,48.0,117.0,34.5,主餐
魚排飯 (200g),1300.0,64.0,156.0,46.0,主餐
魚排飯 (250g),1625.0,80.0,195.0,57.5,主餐
魚排飯 (300g),1950.0,96.0,234.0,69.0,主餐
牛丼 (半份),360.0,15.5,43.0,13.5,日式
牛丼 (小份),540.0,23.2,64.5,20.2,日式
牛丼 (1份),720.0,31.0,86.0,27.0,日式
牛丼 (1.25份),900.0,38.8,107.5,33.8,日式
牛丼 (1.5份),1080.0,46.5,129.0,40.5,日式
牛丼 (2份),1440.0,62.0,172.0,54.0,日式
牛丼 (2.5份),1800.0,77.5,215.0,67.5,日式
牛丼 (3份),2160.0,93.0,258.0,81.0,日式
牛丼 (小碗),540.0,23.2,64.5,20.2,日式
牛丼 (中碗),720.0,31.0,86.0,27.0,日式
牛丼 (大碗),972.0,41.9,116.1,36.5,日式
牛丼 (小杯),540.0,23.2,64.5,20.2,日式
牛丼 (中杯),720.0,31.0,86.0,27.0,日式
牛丼 (大杯),1008.0,43.4,120.4,37.8,日式
牛丼 (小盒),540.0,23.2,64.5,20.2,日式
牛丼 (中盒),720.0,31.0,86.0,27.0,日式
牛丼 (大盒),1008.0,43.4,120.4,37.8,日式
牛丼 (100g),720.0,31.0,86.0,27.0,日式
牛丼 (150g),1080.0,46.5,129.0,40.5,日式
牛丼 (200g),1440.0,62.0,172.0,54.0,日式
牛丼 (250g),1800.0,77.5,215.0,67.5,日式
牛丼 (300g),2160.0,93.0,258.0,81.0,日式
親子丼 (半份),340.0,15.5,39.0,12.0,日式
親子丼 (小份),510.0,23.2,58.5,18.0,日式
親子丼 (1份),680.0,31.0,78.0,24.0,日式
親子丼 (1.25份),850.0,38.8,97.5,30.0,日式
親子丼 (1.5份),1020.0,46.5,117.0,36.0,日式
親子丼 (2份),1360.0,62.0,156.0,48.0,日式
親子丼 (2.5份),1700.0,77.5,195.0,60.0,日式
親子丼 (3份),2040.0,93.0,234.0,72.0,日式
親子丼 (小碗),510.0,23.2,58.5,18.0,日式
親子丼 (中碗),680.0,31.0,78.0,24.0,日式
親子丼 (大碗),918.0,41.9,105.3,32.4,日式
親子丼 (小杯),510.0,23.2,58.5,18.0,日式
親子丼 (中杯),680.0,31.0,78.0,24.0,日式
親子丼 (大杯),952.0,43.4,109.2,33.6,日式
親子丼 (小盒),510.0,23.2,58.5,18.0,日式
親子丼 (中盒),680.0,31.0,78.0,24.0,日式
親子丼 (大盒),952.0,43.4,109.2,33.6,日式
親子丼 (100g),680.0,31.0,78.0,24.0,日式
親子丼 (150g),1020.0,46.5,117.0,36.0,日式
親子丼 (200g),1360.0,62.0,156.0,48.0,日式
親子丼 (250g),1700.0,77.5,195.0,60.0,日式
親子丼 (300g),2040.0,93.0,234.0,72.0,日式
豬排丼 (半份),390.0,17.0,41.0,17.0,日式
豬排丼 (小份),585.0,25.5,61.5,25.5,日式
豬排丼 (1份),780.0,34.0,82.0,34.0,日式
豬排丼 (1.25份),975.0,42.5,102.5,42.5,日式
豬排丼 (1.5份),1170.0,51.0,123.0,51.0,日式
豬排丼 (2份),1560.0,68.0,164.0,68.0,日式
豬排丼 (2.5份),1950.0,85.0,205.0,85.0,日式
豬排丼 (3份),2340.0,102.0,246.0,102.0,日式
豬排丼 (小碗),585.0,25.5,61.5,25.5,日式
豬排丼 (中碗),780.0,34.0,82.0,34.0,日式
豬排丼 (大碗),1053.0,45.9,110.7,45.9,日式
豬排丼 (小杯),585.0,25.5,61.5,25.5,日式
豬排丼 (中杯),780.0,34.0,82.0,34.0,日式
豬排丼 (大杯),1092.0,47.6,114.8,47.6,日式
豬排丼 (小盒),585.0,25.5,61.5,25.5,日式
豬排丼 (中盒),780.0,34.0,82.0,34.0,日式
豬排丼 (大盒),1092.0,47.6,114.8,47.6,日式
豬排丼 (100g),780.0,34.0,82.0,34.0,日式
豬排丼 (150g),1170.0,51.0,123.0,51.0,日式
豬排丼 (200g),1560.0,68.0,164.0,68.0,日式
豬排丼 (250g),1950.0,85.0,205.0,85.0,日式
豬排丼 (300g),2340.0,102.0,246.0,102.0,日式
咖哩飯 (半份),350.0,10.0,44.0,13.5,日式
咖哩飯 (小份),525.0,15.0,66.0,20.2,日式
咖哩飯 (1份),700.0,20.0,88.0,27.0,日式
咖哩飯 (1.25份),875.0,25.0,110.0,33.8,日式
咖哩飯 (1.5份),1050.0,30.0,132.0,40.5,日式
咖哩飯 (2份),1400.0,40.0,176.0,54.0,日式
咖哩飯 (2.5份),1750.0,50.0,220.0,67.5,日式
咖哩飯 (3份),2100.0,60.0,264.0,81.0,日式
咖哩飯 (小碗),525.0,15.0,66.0,20.2,日式
咖哩飯 (中碗),700.0,20.0,88.0,27.0,日式
咖哩飯 (大碗),945.0,27.0,118.8,36.5,日式
咖哩飯 (小杯),525.0,15.0,66.0,20.2,日式
咖哩飯 (中杯),700.0,20.0,88.0,27.0,日式
咖哩飯 (大杯),980.0,28.0,123.2,37.8,日式
咖哩飯 (小盒),525.0,15.0,66.0,20.2,日式
咖哩飯 (中盒),700.0,20.0,88.0,27.0,日式
咖哩飯 (大盒),980.0,28.0,123.2,37.8,日式
咖哩飯 (100g),700.0,20.0,88.0,27.0,日式
咖哩飯 (150g),1050.0,30.0,132.0,40.5,日式
咖哩飯 (200g),1400.0,40.0,176.0,54.0,日式
咖哩飯 (250g),1750.0,50.0,220.0,67.5,日式
咖哩飯 (300g),2100.0,60.0,264.0,81.0,日式
日式豬排飯 (半份),380.0,17.5,42.5,15.5,日式
日式豬排飯 (小份),570.0,26.2,63.8,23.2,日式
日式豬排飯 (1份),760.0,35.0,85.0,31.0,日式
日式豬排飯 (1.25份),950.0,43.8,106.2,38.8,日式
日式豬排飯 (1.5份),1140.0,52.5,127.5,46.5,日式
日式豬排飯 (2份),1520.0,70.0,170.0,62.0,日式
日式豬排飯 (2.5份),1900.0,87.5,212.5,77.5,日式
日式豬排飯 (3份),2280.0,105.0,255.0,93.0,日式
日式豬排飯 (小碗),570.0,26.2,63.8,23.2,日式
日式豬排飯 (中碗),760.0,35.0,85.0,31.0,日式
日式豬排飯 (大碗),1026.0,47.2,114.8,41.9,日式
日式豬排飯 (小杯),570.0,26.2,63.8,23.2,日式
日式豬排飯 (中杯),760.0,35.0,85.0,31.0,日式
日式豬排飯 (大杯),1064.0,49.0,119.0,43.4,日式
日式豬排飯 (小盒),570.0,26.2,63.8,23.2,日式
日式豬排飯 (中盒),760.0,35.0,85.0,31.0,日式
日式豬排飯 (大盒),1064.0,49.0,119.0,43.4,日式
日式豬排飯 (100g),760.0,35.0,85.0,31.0,日式
日式豬排飯 (150g),1140.0,52.5,127.5,46.5,日式
日式豬排飯 (200g),1520.0,70.0,170.0,62.0,日式
日式豬排飯 (250g),1900.0,87.5,212.5,77.5,日式
日式豬排飯 (300g),2280.0,105.0,255.0,93.0,日式
壽司 (半份),150.0,5.0,27.0,2.5,日式
壽司 (小份),225.0,7.5,40.5,3.8,日式
壽司 (1份),300.0,10.0,54.0,5.0,日式
壽司 (1.25份),375.0,12.5,67.5,6.2,日式
壽司 (1.5份),450.0,15.0,81.0,7.5,日式
壽司 (2份),600.0,20.0,108.0,10.0,日式
壽司 (2.5份),750.0,25.0,135.0,12.5,日式
壽司 (3份),900.0,30.0,162.0,15.0,日式
壽司 (小碗),225.0,7.5,40.5,3.8,日式
壽司 (中碗),300.0,10.0,54.0,5.0,日式
壽司 (大碗),405.0,13.5,72.9,6.8,日式
壽司 (小杯),225.0,7.5,40.5,3.8,日式
壽司 (中杯),300.0,10.0,54.0,5.0,日式
壽司 (大杯),420.0,14.0,75.6,7.0,日式
壽司 (小盒),225.0,7.5,40.5,3.8,日式
壽司 (中盒),300.0,10.0,54.0,5.0,日式
壽司 (大盒),420.0,14.0,75.6,7.0,日式
壽司 (100g),300.0,10.0,54.0,5.0,日式
壽司 (150g),450.0,15.0,81.0,7.5,日式
壽司 (200g),600.0,20.0,108.0,10.0,日式
壽司 (250g),750.0,25.0,135.0,12.5,日式
壽司 (300g),900.0,30.0,162.0,15.0,日式
鮭魚壽司 (半份),165.0,7.5,25.0,4.0,日式
鮭魚壽司 (小份),247.5,11.2,37.5,6.0,日式
鮭魚壽司 (1份),330.0,15.0,50.0,8.0,日式
鮭魚壽司 (1.25份),412.5,18.8,62.5,10.0,日式
鮭魚壽司 (1.5份),495.0,22.5,75.0,12.0,日式
鮭魚壽司 (2份),660.0,30.0,100.0,16.0,日式
鮭魚壽司 (2.5份),825.0,37.5,125.0,20.0,日式
鮭魚壽司 (3份),990.0,45.0,150.0,24.0,日式
鮭魚壽司 (小碗),247.5,11.2,37.5,6.0,日式
鮭魚壽司 (中碗),330.0,15.0,50.0,8.0,日式
鮭魚壽司 (大碗),445.5,20.2,67.5,10.8,日式
鮭魚壽司 (小杯),247.5,11.2,37.5,6.0,日式
鮭魚壽司 (中杯),330.0,15.0,50.0,8.0,日式
鮭魚壽司 (大杯),462.0,21.0,70.0,11.2,日式
鮭魚壽司 (小盒),247.5,11.2,37.5,6.0,日式
鮭魚壽司 (中盒),330.0,15.0,50.0,8.0,日式
鮭魚壽司 (大盒),462.0,21.0,70.0,11.2,日式
鮭魚壽司 (100g),330.0,15.0,50.0,8.0,日式
鮭魚壽司 (150g),495.0,22.5,75.0,12.0,日式
鮭魚壽司 (200g),660.0,30.0,100.0,16.0,日式
鮭魚壽司 (250g),825.0,37.5,125.0,20.0,日式
鮭魚壽司 (300g),990.0,45.0,150.0,24.0,日式
鮪魚壽司 (半份),155.0,8.0,25.0,3.0,日式
鮪魚壽司 (小份),232.5,12.0,37.5,4.5,日式
鮪魚壽司 (1份),310.0,16.0,50.0,6.0,日式
鮪魚壽司 (1.25份),387.5,20.0,62.5,7.5,日式
鮪魚壽司 (1.5份),465.0,24.0,75.0,9.0,日式
鮪魚壽司 (2份),620.0,32.0,100.0,12.0,日式
鮪魚壽司 (2.5份),775.0,40.0,125.0,15.0,日式
鮪魚壽司 (3份),930.0,48.0,150.0,18.0,日式
鮪魚壽司 (小碗),232.5,12.0,37.5,4.5,日式
鮪魚壽司 (中碗),310.0,16.0,50.0,6.0,日式
鮪魚壽司 (大碗),418.5,21.6,67.5,8.1,日式
鮪魚壽司 (小杯),232.5,12.0,37.5,4.5,日式
鮪魚壽司 (中杯),310.0,16.0,50.0,6.0,日式
鮪魚壽司 (大杯),434.0,22.4,70.0,8.4,日式
鮪魚壽司 (小盒),232.5,12.0,37.5,4.5,日式
鮪魚壽司 (中盒),310.0,16.0,50.0,6.0,日式
鮪魚壽司 (大盒),434.0,22.4,70.0,8.4,日式
鮪魚壽司 (100g),310.0,16.0,50.0,6.0,日式
鮪魚壽司 (150g),465.0,24.0,75.0,9.0,日式
鮪魚壽司 (200g),620.0,32.0,100.0,12.0,日式
鮪魚壽司 (250g),775.0,40.0,125.0,15.0,日式
鮪魚壽司 (300g),930.0,48.0,150.0,18.0,日式
蝦壽司 (半份),145.0,6.5,26.0,2.0,日式
蝦壽司 (小份),217.5,9.8,39.0,3.0,日式
蝦壽司 (1份),290.0,13.0,52.0,4.0,日式
蝦壽司 (1.25份),362.5,16.2,65.0,5.0,日式
蝦壽司 (1.5份),435.0,19.5,78.0,6.0,日式
蝦壽司 (2份),580.0,26.0,104.0,8.0,日式
蝦壽司 (2.5份),725.0,32.5,130.0,10.0,日式
蝦壽司 (3份),870.0,39.0,156.0,12.0,日式
蝦壽司 (小碗),217.5,9.8,39.0,3.0,日式
蝦壽司 (中碗),290.0,13.0,52.0,4.0,日式
蝦壽司 (大碗),391.5,17.6,70.2,5.4,日式
蝦壽司 (小杯),217.5,9.8,39.0,3.0,日式
蝦壽司 (中杯),290.0,13.0,52.0,4.0,日式
蝦壽司 (大杯),406.0,18.2,72.8,5.6,日式
蝦壽司 (小盒),217.5,9.8,39.0,3.0,日式
蝦壽司 (中盒),290.0,13.0,52.0,4.0,日式
蝦壽司 (大盒),406.0,18.2,72.8,5.6,日式
蝦壽司 (100g),290.0,13.0,52.0,4.0,日式
蝦壽司 (150g),435.0,19.5,78.0,6.0,日式
蝦壽司 (200g),580.0,26.0,104.0,8.0,日式
蝦壽司 (250g),725.0,32.5,130.0,10.0,日式
蝦壽司 (300g),870.0,39.0,156.0,12.0,日式
玉子燒 (半份),90.0,5.0,5.0,5.0,日式
玉子燒 (小份),135.0,7.5,7.5,7.5,日式
玉子燒 (1份),180.0,10.0,10.0,10.0,日式
玉子燒 (1.25份),225.0,12.5,12.5,12.5,日式
玉子燒 (1.5份),270.0,15.0,15.0,15.0,日式
玉子燒 (2份),360.0,20.0,20.0,20.0,日式
玉子燒 (2.5份),450.0,25.0,25.0,25.0,日式
玉子燒 (3份),540.0,30.0,30.0,30.0,日式
玉子燒 (小碗),135.0,7.5,7.5,7.5,日式
玉子燒 (中碗),180.0,10.0,10.0,10.0,日式
玉子燒 (大碗),243.0,13.5,13.5,13.5,日式
玉子燒 (小杯),135.0,7.5,7.5,7.5,日式
玉子燒 (中杯),180.0,10.0,10.0,10.0,日式
玉子燒 (大杯),252.0,14.0,14.0,14.0,日式
玉子燒 (小盒),135.0,7.5,7.5,7.5,日式
玉子燒 (中盒),180.0,10.0,10.0,10.0,日式
玉子燒 (大盒),252.0,14.0,14.0,14.0,日式
玉子燒 (100g),180.0,10.0,10.0,10.0,日式
玉子燒 (150g),270.0,15.0,15.0,15.0,日式
玉子燒 (200g),360.0,20.0,20.0,20.0,日式
玉子燒 (250g),450.0,25.0,25.0,25.0,日式
玉子燒 (300g),540.0,30.0,30.0,30.0,日式
味噌湯 (半份),27.5,2.0,2.5,1.0,湯品
味噌湯 (小份),41.2,3.0,3.8,1.5,湯品
味噌湯 (1份),55.0,4.0,5.0,2.0,湯品
味噌湯 (1.25份),68.8,5.0,6.2,2.5,湯品
味噌湯 (1.5份),82.5,6.0,7.5,3.0,湯品
味噌湯 (2份),110.0,8.0,10.0,4.0,湯品
味噌湯 (2.5份),137.5,10.0,12.5,5.0,湯品
味噌湯 (3份),165.0,12.0,15.0,6.0,湯品
味噌湯 (小碗),41.2,3.0,3.8,1.5,湯品
味噌湯 (中碗),55.0,4.0,5.0,2.0,湯品
味噌湯 (大碗),74.2,5.4,6.8,2.7,湯品
味噌湯 (小杯),41.2,3.0,3.8,1.5,湯品
味噌湯 (中杯),55.0,4.0,5.0,2.0,湯品
味噌湯 (大杯),77.0,5.6,7.0,2.8,湯品
味噌湯 (小盒),41.2,3.0,3.8,1.5,湯品
味噌湯 (中盒),55.0,4.0,5.0,2.0,湯品
味噌湯 (大盒),77.0,5.6,7.0,2.8,湯品
味噌湯 (100g),55.0,4.0,5.0,2.0,湯品
味噌湯 (150g),82.5,6.0,7.5,3.0,湯品
味噌湯 (200g),110.0,8.0,10.0,4.0,湯品
味噌湯 (250g),137.5,10.0,12.5,5.0,湯品
味噌湯 (300g),165.0,12.0,15.0,6.0,湯品
茶碗蒸 (半份),55.0,4.5,2.0,3.0,日式
